รหัส,ที่มา,วันที่,โครงการ,ประเภท,ห้อง,ตรม.,ชั้น,เช่า,ขาย,ทำเล,สถานี,ต้นทาง,เจ้าของ,ที่โพสต์,เพจ,หมายเหตุ
PTP7775,ชีท,10/05/2026,The Link Sukhumvit 64 (เดอะลิงค์ สุขุมวิท 64),คอนโด,1 Bed 1 Bath,35,4,"12,000","1,890,000","เอกมัย, สุขุมวิท, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/1BErPJ5BXc/?,,https://www.facebook.com/share/p/1BBRJwzFQ5/?mibextid=wwXIfr,https://www.facebook.com/share/p/1UWytQXNXb/?mibextid=wwXIfr,
PTP7774,ชีท,10/05/2026,D' 65 (ดี' 65),คอนโด,1 Bed 1 Bath,46,6,"20,000",,"อ่อนนุช, อุดมสุข, เอกมัย, พระโขนง","BTS เอกมัย, BTS พระโขนง",https://www.facebook.com/share/p/18YKpKXson/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1CYF8F6nyX/?mibextid=wwXIfr,https://www.facebook.com/share/p/1HUKD5mPrY/?mibextid=wwXIfr,
PTP7773,ชีท,10/05/2026,The Waterford Diamond 30/1 (เดอะ วอเตอร์ ฟอร์ด ไดมอนด์ 30/1),คอนโด,1 Bed 1 Bath,51.65,17,"23,000",,"พร้อมพงษ์, ทองหล่อ","BTS พร้อมพงษ์, BTS ทองหล่อ",https://www.facebook.com/share/p/1BUPCgWEFn/,https://www.facebook.com/kenny.durden.9/,https://www.facebook.com/share/p/1BDeqx6AD9/?mibextid=wwXIfr,https://www.facebook.com/share/p/17vA1PYYGT/?mibextid=wwXIfr,
PTP7772,ชีท,10/05/2026,PYNN Pridi 20 (พินน์ ปรีดี 20),คอนโด,1 Bed 1 Bath,33,2,"23,000",,"อ่อนนุช, อุดมสุข, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1MoRTPk7kS/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1DCxLvbob2/?mibextid=wwXIfr,https://www.facebook.com/share/p/14diQ8NfFXx/?mibextid=wwXIfr,
PTP7771,ชีท,10/05/2026,Baan Onnut Condominium (บ้านอ่อนนุช คอนโดมิเนียม),คอนโด,1 Bed 1 Bath,80,5,"16,000",,"อ่อนนุช, พระโขนง, บางจาก","BTS อ่อนนุช, BTS พระโขนง, BTS บางจาก",https://www.facebook.com/share/p/1DwrcbGoUK/,https://www.facebook.com/touchchi/,https://www.facebook.com/share/p/1GwHxRWCHN/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DRV8rbEdX/?mibextid=wwXIfr,
PTP7770,ชีท,10/05/2026,Thru Thonglor (ทรู ทองหล่อ),คอนโด,1 Bed 1 Bath,31,16,"16,500",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","BTS ทองหล่อ, MRT เพชรบุรี, ARL มักกะสัน",https://www.facebook.com/share/p/18hFqZHTL5/?mibextid=wwXIfr,https://www.facebook.com/tukta.wanvisa.9/,https://www.facebook.com/share/p/18QKGreLFr/?mibextid=wwXIfr,https://www.facebook.com/share/p/18L8cWrzeK/?mibextid=wwXIfr,
PTP7769,ชีท,09/05/2026,D' 65 (ดี' 65),คอนโด,1 Bed 1 Bath,35,4,"15,000",,"อ่อนนุช, อุดมสุข, เอกมัย, พระโขนง","BTS เอกมัย, BTS พระโขนง",https://www.facebook.com/share/1DEf4PAZFS/,https://www.facebook.com/IamOryman/,https://www.facebook.com/share/p/1CwQ2fmYjW/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CeseJdCus/?mibextid=wwXIfr,
PTP7768,ชีท,09/05/2026,OKA HAUS Sukhumvit 36 (โอกะ เฮาส์ สุขุมวิท 36),คอนโด,1 Bed 1 Bath,34,36,"23,000",,"ทองหล่อ, อโศก, สุขุมวิท","BTS ทองหล่อ, MRT ศูนย์ประชุมแห่งชาติสิริกิติ์",https://www.livinginsider.com/istockdetail/DIoooI_bIfgyyo.html,,https://www.facebook.com/share/p/14aHLWfJ8CK/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BAu8mC91W/?mibextid=wwXIfr,
PTP7767,ชีท,09/05/2026,The Excel Hideaway Sukhumvit 50 (ดิ เอ็กซ์เซล ไฮด์ อะเวย์ สุขุมวิท 50),คอนโด,1 Bed 1 Bath,30,8,"13,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS อ่อนนุช, BTS กรุงธนบุรี",https://www.facebook.com/share/p/1DXvcr3us3/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1KQcNHX3UK/?mibextid=wwXIfr,https://www.facebook.com/share/p/17Bm25PerY/?mibextid=wwXIfr,
PTP7766,ชีท,09/05/2026,Baan Nonsee (บ้าน นนทรี),คอนโด,2 Bed 2 Bath,80,,"42,000",,สาทร,BTS ช่องนนทรี,https://www.facebook.com/share/p/1B3xq6jVZ8/?mibextid=wwXIfr,,https://www.facebook.com/share/p/194wpbtknv/?mibextid=wwXIfr,https://www.facebook.com/share/p/18HDgu3C1j/?mibextid=wwXIfr,
PTP7765,ชีท,09/05/2026,Citi Smart Sukhumvit 18 (ซิตี้ สมาร์ท สุขุมวิท 18),คอนโด,2 Bed 2 Bath,75,12,"45,000",,"อโศก, สุขุมวิท","BTS อโศก, MRT สุขุมวิท",https://www.facebook.com/share/p/17gx16YDVM/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1CR3fVPKuk/?mibextid=wwXIfr,https://www.facebook.com/share/p/18cqEzVfKv/?mibextid=wwXIfr,
PTP7764,ชีท,09/05/2026,Wittayu Complex (วิทยุ คอมเพล็กซ์),คอนโด,2 Bed 2 Bath,95,16,"35,000",,"วิทยุ, ชิดลม, หลังสวน, เพลินจิต","BTS เพลินจิต, BTS ชิดลม, ARL ราชปรารภ",https://www.facebook.com/share/p/1Gs6xoLNAr/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1EL939ZzMJ/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EKfrQgGZx/?mibextid=wwXIfr,
PTP7763,ชีท,09/05/2026,The Room Sukhumvit 79 (เดอะ รูม สุขุมวิท 79),คอนโด,1 Bed 1 Bath,39,4,"14,500",,"อ่อนนุช, สุขุมวิท, พระโขนง","BTS อ่อนนุช, BTS พระโขนง",https://www.facebook.com/share/p/1DxpsLe81f/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1EUYUEDFZR/?mibextid=wwXIfr,https://www.facebook.com/share/p/1aFwhJHY8t/?mibextid=wwXIfr,
PTP7762,ชีท,09/05/2026,Baan Siangsonniwet (บ้านเสียงสนนิเวศน์ สุขุมวิท 68),บ้าน,2 Bed 2 Bath,24ตรว,2,"20,000",,"พระโขนง, สุขุมวิท",BTS พระโขนง,https://www.facebook.com/share/p/1EWqGmfidQ/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1B726HTqyc/?mibextid=wwXIfr,https://www.facebook.com/share/p/16qvnVq6ui/?mibextid=wwXIfr,
PTP7761,ชีท,09/05/2026,The Tree Pattanakarn - Ekkamai (เดอะ ทรี พัฒนาการ - เอกมัย),คอนโด,1 Bed 1 Bath,24,11-20,"14,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, รามคำแหง",ARL รามคำแหง,https://www.livinginsider.com/istockdetail/DIoooI_DoyejDe.html,,https://www.facebook.com/share/p/18gVg2vvAg/?mibextid=wwXIfr,https://www.facebook.com/share/p/18LNo3KiK8/?mibextid=wwXIfr,
PTP7760,ชีท,09/05/2026,Noble Around Ari (โนเบิล อราวน์ อารีย์),คอนโด,1 Bed 1 Bath,27,31,"19,000",,"อารีย์, เจริญนคร","BTS อารีย์, BTS สนามเป้า, BTS กรุงธนบุรี",https://www.livinginsider.com/istockdetail/DIoooI_CDIIfIg.html,,https://www.facebook.com/share/p/1MTFCfNP56/?mibextid=wwXIfr,https://www.facebook.com/share/p/193uAUFAh6/?mibextid=wwXIfr,
PTP7759,ชีท,08/05/2026,Lumpini Suite Din Daeng - Ratchaprarop (ลุมพินี สวีท ดินแดง - ราชปรารภ ),คอนโด,1 Bed 1 Bath,28,21-50,"15,000",,ราชเทวี พญาไท,BTS อนุสาวรีย์ชัยสมรภูมิ,https://www.livinginsider.com/istockdetail/DIoooI_bgeCgoo.html,,https://www.facebook.com/share/p/1DcuibCbnp/?mibextid=wwXIfr,https://www.facebook.com/share/p/1JVSfCNXTA/?mibextid=wwXIfr,
PTP7758,ชีท,08/05/2026,The Trendy Condominium (เดอะ เทรนดี้ คอนโดมิเนียม),คอนโด,1 Bed Plus 2 Bath,74.17,5-10,"28,000","7,200,000","นานา, อโศก","BTS นานา, BTS อโศก, MRT สุขุมวิท",https://www.livinginsider.com/istockdetail/DIoooI_DoygDfI.html,,https://www.facebook.com/share/p/18xQWPEfVr/?mibextid=wwXIfr,https://www.facebook.com/share/p/1ag22TLgqv/?mibextid=wwXIfr,
PTP7757,ชีท,08/05/2026,IDEO Sukhumvit - Rama 4 (ไอดีโอ สุขุมวิท - พระราม 4),คอนโด,1 Bed 1 Bath,30,11-20,"22,000","4,890,000","คลองเตย กล้วยน้ำไท, พระโขนง, เอกมัย","BTS พระโขนง, BTS เอกมัย",https://www.livinginsider.com/istockdetail/DIoooI_DoygefC.html,,https://www.facebook.com/share/p/1Ds4mcnKyh/?mibextid=wwXIfr,https://www.facebook.com/share/p/1bdMTZLGeo/?mibextid=wwXIfr,
PTP7756,ชีท,08/05/2026,Aspire Onnut Station (แอสปาย อ่อนนุช สเตชั่น),คอนโด,1 Bed 1 Bath,31,7,"18,000",,"อ่อนนุช, อุดมสุข, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร, BTS อ่อนนุช",https://www.facebook.com/share/p/18whFtHkNd/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1apxeHbe2Q/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EM115prHS/?mibextid=wwXIfr,
PTP7755,ชีท,08/05/2026,อาคารทองหล่อ 23,พื้นที่ให้เช่า/ขาย,0,900,5,"230,000",,"ทองหล่อ, เอกมัย","BTS ทองหล่อ, BTS เอกมัย",https://www.facebook.com/share/p/1DC6iFax7y/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1KG9KsJ4Xw/?mibextid=wwXIfr,https://www.facebook.com/share/p/1SEs7Ya7h2/?mibextid=wwXIfr,
PTP7754,ชีท,08/05/2026,ทาวน์เฮ้าส์ สุขุมวิท 44/2,บ้าน,3 Bed 3 Bath,250,3,"70,000",,"พร้อมพงษ์, สุขุมวิท, ทองหล่อ","BTS พร้อมพงษ์, BTS ทองหล่อ",https://www.facebook.com/share/p/1Q18pHneHW/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1CPbjbNog3/?mibextid=wwXIfr,https://www.facebook.com/share/p/1LDX2WGr9j/?mibextid=wwXIfr,
PTP7753,ชีท,08/05/2026,The Excel Hideaway Sukhumvit 50 (ดิ เอ็กซ์เซล ไฮด์ อะเวย์ สุขุมวิท 50),คอนโด,1 Bed 1 Bath,30,3,"13,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS อ่อนนุช, BTS กรุงธนบุรี",https://www.facebook.com/share/p/17Zyv3oK4q/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1Frjjhf7qn/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Cc3AacECf/?mibextid=wwXIfr,
PTP7752,ชีท,08/05/2026,Base Garden Rama 9 (เดอะ เบส การ์เดน พระราม 9),คอนโด,1 Bed 1 Bath,32,25,"13,000",,"พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน",https://www.facebook.com/share/p/1BCGsFkkqL/,https://www.facebook.com/qintommy/,https://www.facebook.com/share/p/188v2mC2mL/?mibextid=wwXIfr,https://www.facebook.com/share/p/18QXVCJwC7/?mibextid=wwXIfr,
PTP7751,ชีท,08/05/2026,XT HUAIKWANG (เอ็กซ์ที ห้วยขวาง),คอนโด,1 Bed 1 Bath,30.12,6,"20,000","4,850,000","รัชดา, ห้วยขวาง","MRT ห้วยขวาง, MRT ศูนย์วัฒนธรรมแห่งประเทศไทย",https://www.livinginsider.com/istockdetail/DIoooI_Dogjbfe.html,,https://www.facebook.com/share/p/14bkFFBEiT5/?mibextid=wwXIfr,https://www.facebook.com/share/p/18sdvYeavc/?mibextid=wwXIfr,
PTP7750,ชีท,08/05/2026,Space for Rent | เอกมัย 12,พื้นที่ให้เช่า/ขาย,,70,2,"36,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย","BTS เอกมัย, BTS ทองหล่อ",https://www.livinginsider.com/istockdetail/DIoooI_Dogjgjf.html,,https://www.facebook.com/share/p/1CwQSynHWG/?mibextid=wwXIfr,https://www.facebook.com/share/p/17mZ7hGiXW/?mibextid=wwXIfr,
PTP7749,ชีท,07/05/2026,Rhythm Asoke ll (ริทึ่ม อโศก 2),คอนโด,1 Bed 1 Bath,27.65,10,"16,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน, MRT เพชรบุรี",https://www.livinginsider.com/istockdetail/DIoooI_DoybCef.html,,https://www.facebook.com/share/p/1Hw5dJV6dM/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Am8NXzSK5/?mibextid=wwXIfr,
PTP7748,ชีท,07/05/2026,ITF Silom Palace (ไอทีเอฟ สีลม พาเลส),คอนโด,1 Bed 1 Bath,39,12,"15,000",,"สาทร, สีลม","BTS ช่องนนทรี, BTS ศาลาแดง, MRT สามย่าน",https://www.livinginsider.com/istockdetail/DIoooI_DoyCgDI.html,,https://www.facebook.com/share/p/1BdNcWBtZo/?mibextid=wwXIfr,https://www.facebook.com/share/p/1XBbRChrhs/?mibextid=wwXIfr,
PTP7747,ชีท,07/05/2026,The Saint Residences (เดอะ เซนต์ เรสซิเดนซ์),คอนโด,1 Bed 1 Bath,31,30,"15,500",,ลาดพร้าว,"MRT พหลโยธิน, BTS ห้าแยกลาดพร้าว",https://www.livinginsider.com/istockdetail/DIoooI_CyeeDbC.html,,https://www.facebook.com/share/p/17d3ShWJNt/?mibextid=wwXIfr,https://www.facebook.com/share/p/18YMhtsBZ7/?mibextid=wwXIfr,
PTP7746,ชีท,07/05/2026,Thru Thonglor (ทรู ทองหล่อ),คอนโด,1 Bed 1 Bath,36,9,"14,000",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","BTS ทองหล่อ, MRT เพชรบุรี, ARL มักกะสัน",,,https://www.facebook.com/share/p/1CXNqcFBVp/,https://www.facebook.com/share/p/1DmviAKbMx/?mibextid=wwXIfr,มีรูปเพิ่มเติมในอัลบั้มไลน์กลุ่ม
PTP7745,ชีท,07/05/2026,FLO by Sansiri (โฟล บาย แสนสิริ),คอนโด,1 Bed 1 Bath,25,11,"13,000",,"เจริญนคร, วงเวียนใหญ่",BTS เจริญนคร,https://www.livinginsider.com/istockdetail/DIoooI_DoyDgIg.html,,https://www.facebook.com/share/p/1ATNUNH4bA/?mibextid=wwXIfr,https://www.facebook.com/share/p/18pYfhfJgL/?mibextid=wwXIfr,
PTP7744,ชีท,07/05/2026,Wish Signature Midtown Siam (วิช ซิกเนเจอร์ มิดทาวน์ สยาม),คอนโด,1 Bed 1 Bath,27,14,"20,000",,"ราชเทวี พญาไท, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร, BTS ราชเทวี",https://www.facebook.com/share/p/1AdjQg3bn1/,https://www.facebook.com/gail.yutthas/?locale=th_TH,https://www.facebook.com/share/p/1CRDwmMmQd/?mibextid=wwXIfr,https://www.facebook.com/share/p/1HtV6MZS16/?mibextid=wwXIfr,
PTP7743,ชีท,07/05/2026,บ้านเดี่ยว หัวลำโพง,บ้าน,3 Bed 3 Bath,220,3,"65,000",,,BTS สยาม,https://www.facebook.com/share/p/1bZqtDTwK9/?mibextid=wwXIfr,,https://www.facebook.com/share/p/14begAq18aX/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DGi3fDBSc/?mibextid=wwXIfr,
PTP7742,ชีท,07/05/2026,Noble Solo (โนเบิล โซโล),คอนโด,1 Bed 1 Bath,70,7,"35,000",,"ทองหล่อ, อโศก, สุขุมวิท",BTS ทองหล่อ,https://www.facebook.com/share/p/1DnNzZoT33/,https://www.facebook.com/lan.yang.336/?locale=th_TH,https://www.facebook.com/share/p/1XbrFzko1f/?mibextid=wwXIfr,https://www.facebook.com/share/p/19HfAAwNMq/?mibextid=wwXIfr,
PTP7741,ชีท,07/05/2026,Home Office Sukhumvit 20 (สุขุมวิท 20),บ้าน,4 Bed 3 Bath,400,2,"230,000",,"อโศก, สุขุมวิท","BTS อโศก, MRT สุขุมวิท",https://www.facebook.com/share/p/1A7RVu1DCd/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1azaT6BG5N/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DtU1iyhUW/?mibextid=wwXIfr,
PTP7740,ชีท,07/05/2026,Vtara Sukhumvit 36 (วีธารา สุขุมวิท 36),คอนโด,1 Bed 1 Bath,30,2,"16,000","3,500,000","ทองหล่อ, อโศก, สุขุมวิท, พร้อมพงษ์","BTS พร้อมพงษ์, BTS ทองหล่อ",https://www.facebook.com/share/p/1XgRw9ft5d/,https://www.facebook.com/superpan007/?locale=th_TH,https://www.facebook.com/share/p/193HsQ2B23/?mibextid=wwXIfr,https://www.facebook.com/share/p/18eSh146fW/?mibextid=wwXIfr,
PTP7739,ชีท,06/05/2026,QUINTARA MHy'ZEN PHROM PHONG (ควินทารา มาย'เซน พร้อมพงษ์),คอนโด,1 Bed 1 Bath,22,5,"15,000",,"ทองหล่อ, อโศก, สุขุมวิท, พร้อมพงษ์",BTS พร้อมพงษ์,https://www.facebook.com/share/p/1CDAjN1uh8/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1DHt2SitHT/?mibextid=wwXIfr,https://www.facebook.com/share/p/18anEBDgG9/?mibextid=wwXIfr,
PTP7738,ชีท,06/05/2026,Niche Pride Thonglor-Phetchaburi (นิช ไพรด์ ทองหล่อ - เพชรบุรี),คอนโด,1 Bed 1 Bath,36,6,"19,500","4,100,000","ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.facebook.com/share/p/1GnCYjfwSo/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1B7SGfQofk/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CvtZ7QW2J/?mibextid=wwXIfr,
PTP7737,ชีท,06/05/2026,อาคารพาณิชย์ สุขุมวิท 46 (ซอยภูมิจิตร),บ้าน,,240,4.5,"38,000",,"คลองเตย กล้วยน้ำไท, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1B8ZJaWwN2/,https://www.facebook.com/alisa.khosanunte.2024/?locale=th_TH,https://www.facebook.com/share/p/1EEPXp7Kd1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Kq42omrqv/?mibextid=wwXIfr,
PTP7736,ชีท,06/05/2026,Mantana 2 Motorway - New Krungthepkreetha (มัณฑนา 2 มอเตอร์เวย์ - กรุงเทพกรีฑาตัดใหม่),บ้าน,3 Bed 3 Bath,151,2,,"8,390,000",นานา,BTS นานา,https://www.facebook.com/share/p/14iGvhKVDBJ/?mibextid=wwXIfr,,https://www.facebook.com/share/p/18VgVxn6MS/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Be2btpLKm/?mibextid=wwXIfr,
PTP7735,ชีท,06/05/2026,BEAT SUKHUMVIT (บีท สุขุมวิท),คอนโด,1 Bed 1 Bath,27,4,"12,500",,"พระโขนง, อ่อนนุช, สุขุมวิท","BTS พระโขนง, BTS อ่อนนุช",https://www.facebook.com/share/p/17Z8dQTFeD/?mibextid=wwXIfr,,https://www.facebook.com/share/p/18eqqQVW6y/?mibextid=wwXIfr,https://www.facebook.com/share/p/1KTJANnmBi/?mibextid=wwXIfr,
PTP7734,ชีท,06/05/2026,89 Residence Ratchada - Rama 9 (89 เรสซิเดนซ์ รัชดา - พระราม),บ้าน,4 Bed 5 Bath,260,4,,"16,900,000","เพชรบุรีตัดใหม่, RCA, พระราม 9, ห้วยขวาง",MRT ศูนย์วัฒนธรรมแห่งประเทศไทย,https://www.livinginsider.com/istockdetail/DIoooI_CIeyDCI.html,,https://www.facebook.com/share/p/14jM6C6QTm9/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BiyJVA1eA/?mibextid=wwXIfr,
PTP7733,ชีท,06/05/2026,IDEO Q Phayathai (ไอดีโอ คิว พญาไท),คอนโด,1 Bed 1 Bath,42,17,"19,000",,ราชเทวี พญาไท,"BTS พญาไท, BTS ราชเทวี, BTS อนุสาวรีย์ชัยสมรภูมิ",https://www.facebook.com/share/p/18eoCLtf7i/?,,https://www.facebook.com/share/p/1EFfsaEjkS/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BQAFRuhPW/?mibextid=wwXIfr,
PTP7732,ชีท,06/05/2026,Aspire Sukhumvit 48 (แอสปาย สุขุมวิท 48),คอนโด,1 Bed 1 Bath,32.21,15,"13,000",,"อ่อนนุช, อุดมสุข, พระโขนง","BTS พระโขนง, BTS อ่อนนุช",https://www.facebook.com/share/1HGeBh6Fqe/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1B1RsrXwPb/?mibextid=wwXIfr,https://www.facebook.com/share/p/1aHAPKVh39/?mibextid=wwXIfr,
PTP7731,ชีท,06/05/2026,ทาวน์เฮาส์ เอกมัย 22,บ้าน,4 Bed 3 Bath,200,2,"120,000","18,900,000","เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/1EWP8R7VqW/?mibextid=wwXIfr,,https://www.facebook.com/share/p/17bVKFag4q/?mibextid=wwXIfr,https://www.facebook.com/share/p/1KWa34REtn/?mibextid=wwXIfr,
PTP7730,ชีท,06/05/2026,Noble Around Ari (โนเบิล อราวน์ อารีย์),คอนโด,1 Bed 1 Bath,27,15,"19,500",,"อารีย์, เจริญนคร","BTS อารีย์, BTS สนามเป้า, BTS กรุงธนบุรี",https://www.livinginsider.com/istockdetail/DIoooI_CfDDjII.html,,https://www.facebook.com/share/p/1b3NahEcG5/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Dr2gqBp2S/?mibextid=wwXIfr,
PTP7729,ชีท,05/05/2026,Condolette Dwell Sukhumvit 26 (คอนโดเลต ดเวล สุขุมวิท 26),คอนโด,1 Bed 1 Bath,32,4,"17,000",,"ทองหล่อ, อโศก, สุขุมวิท, พร้อมพงษ์","BTS พร้อมพงษ์, BTS ทองหล่อ",https://www.livinginsider.com/istockdetail/DIoooI_Doggfee.html,,https://www.facebook.com/share/p/1X7UYegGj4/?mibextid=wwXIfr,https://www.facebook.com/share/p/1D1eqadMjB/?mibextid=wwXIfr,
PTP7728,ชีท,05/05/2026,Wish Signature Midtown Siam (วิช ซิกเนเจอร์ มิดทาวน์ สยาม),คอนโด,1 Bed 1 Bath,27,5-10,"19,500",,"ราชเทวี พญาไท, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร, BTS ราชเทวี",https://www.livinginsider.com/istockdetail/DIoooI_DogIojf.html,,https://www.facebook.com/share/p/1ELZrjvQXx/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BiDdWUfky/?mibextid=wwXIfr,
PTP7727,ชีท,05/05/2026,Voque Sukhumvit 16 (โว๊ค สุขุมวิท 16),คอนโด,1 Bed 1 Bath,40,7,,"4,400,000","ทองหล่อ, อโศก, สุขุมวิท","BTS อโศก, MRT สุขุมวิท",https://www.livinginsider.com/istockdetail/DIoooI_CfyCDIC.html,,https://www.facebook.com/share/p/18P6ZNu1rf/?mibextid=wwXIfr,https://www.facebook.com/share/p/18gRLPPwdx/?mibextid=wwXIfr,
PTP7726,ชีท,05/05/2026,ทาวน์โฮม พระราม 9 ซอย 41,บ้าน,3 Bed 4 Bath,180,3,,"12,900,000","เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน",https://www.livinginsider.com/istockdetail/DIoooI_beoeojI.html,,https://www.facebook.com/share/p/18QMMu5EcA/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CvwMSFcvm/?mibextid=wwXIfr,
PTP7725,ชีท,05/05/2026,Home Office ลาดพร้าว โชคชัย 4,บ้าน,4 Bed 4 Bath,500,2,"43,000",,ลาดพร้าว,"MRT ลาดพร้าว, BTS ห้าแยกลาดพร้าว",https://www.facebook.com/share/p/1CwR257h9u/,https://www.facebook.com/nainina.oct/,https://www.facebook.com/share/p/1Fcxc79pip/?mibextid=wwXIfr,https://www.facebook.com/share/p/18h4bzR1vH/?mibextid=wwXIfr,
PTP7724,ชีท,05/05/2026,Knightsbridge Prime Onnut (ไนท์บริดจ์ ไพร์ม อ่อนนุช),คอนโด,1 Bed 1 Bath,23,23,"16,000",,"อ่อนนุช, อุดมสุข",BTS อ่อนนุช,https://www.facebook.com/share/p/1BWUXgpi8e/?mibextid=wwXIfr,,https://www.facebook.com/share/p/17W6G31nJQ/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BpyVNPYiZ/?mibextid=wwXIfr,
PTP7723,ชีท,05/05/2026,The Bloom Sukhumvit 71 (เดอะ บลูม สุขุมวิท 71),คอนโด,1 Bed 1 Bath,35,14,"14,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1ck7eQCV9f/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1J97ie47bj/?mibextid=wwXIfr,https://www.facebook.com/share/p/1HdDekgDg4/?mibextid=wwXIfr,
PTP7722,ชีท,05/05/2026,Up Ekamai (อัพ เอกมัย),คอนโด,2 Bed 2 Bath,77.48,12,"55,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/18eo9WHH8p/?mibextid=wwXIfr,https://www.facebook.com/rainbowow/,https://www.facebook.com/share/p/1EcL9oTtPF/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Ed9ze4Pe2/?mibextid=wwXIfr,
PTP7721,ชีท,05/05/2026,WYNE Sukhumvit (วายน์ สุขุมวิท),คอนโด,1 Bed 1 Bath,35,16,"18,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/18a4AZNPiH/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1FjkkcYogk/?mibextid=wwXIfr,https://www.facebook.com/share/p/1AHrriZF6U/?mibextid=wwXIfr,
PTP7720,ชีท,05/05/2026,NIA by Sansiri (เนีย บาย แสนสิริ),คอนโด,1 Bed 1 Bath,24,4,"13,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1CgfkZk369/?mibextid=wwXIfr,,https://www.facebook.com/share/p/17wsr81jXi/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CvxWaGX3W/?mibextid=wwXIfr,
